,PDF,Palabra,Frecuencia
347,PSOE,empresa,6
348,PSOE,compromiso,54
349,PSOE,c,18
350,PSOE,on,5
351,PSOE,ciencia,49
352,PSOE,universidad,16
353,PSOE,pública,83
354,PSOE,transformación,82
355,PSOE,progreso,19
356,PSOE,serv,2
357,PSOE,icio,2
358,PSOE,cultura,77
359,PSOE,vivir,9
360,PSOE,dignamente,2
361,PSOE,cuestión,17
362,PSOE,iv,5
363,PSOE,feminista,18
364,PSOE,publicos,2
365,PSOE,cuidados,60
366,PSOE,tiempos,15
367,PSOE,racionalización,10
368,PSOE,horarios,18
369,PSOE,ley,168
370,PSOE,usos,13
371,PSOE,tiempo,62
372,PSOE,paridad,6
373,PSOE,requisito,5
374,PSOE,construir,15
375,PSOE,conocimiento,57
376,PSOE,inteligencia,40
377,PSOE,artificial,38
378,PSOE,sesgos,15
379,PSOE,género,133
380,PSOE,artifical,2
381,PSOE,efectiva,32
382,PSOE,hombres,74
383,PSOE,catalizador,2
384,PSOE,violencia,108
385,PSOE,ma,1
386,PSOE,chista,1
387,PSOE,paso,8
388,PSOE,atrás,12
389,PSOE,machista,11
390,PSOE,defender,11
391,PSOE,renovar,6
392,PSOE,menores,53
393,PSOE,huérfanos,6
394,PSOE,ciberviolencia,4
395,PSOE,combatir,22
396,PSOE,ambito,1
397,PSOE,seguir,62
398,PSOE,avanzando,30
399,PSOE,jovenes,2
400,PSOE,redes,39
401,PSOE,sociales,116
402,PSOE,proteger,23
403,PSOE,pornografía,12
404,PSOE,prostitución,15
405,PSOE,vientres,8
406,PSOE,alquiler,38
407,PSOE,abolir,2
408,PSOE,erradicar,11
409,PSOE,trata,43
410,PSOE,seres,8
411,PSOE,humanos,43
412,PSOE,vidas,15
413,PSOE,maternidad,12
414,PSOE,libremente,2
415,PSOE,sexuales,4
416,PSOE,reproductivos,2
417,PSOE,mejorar,76
418,PSOE,pobreza,75
419,PSOE,pensiones,57
420,PSOE,visión,10
421,PSOE,politicas,2
422,PSOE,consolidación,18
423,PSOE,cuarto,4
424,PSOE,pilar,21
425,PSOE,promoción,62
426,PSOE,personal,52
427,PSOE,dependencia,33
428,PSOE,reforma,64
429,PSOE,desafío,6
430,PSOE,longevidad,6
431,PSOE,edades,5
432,PSOE,infancia,43
433,PSOE,tercer,21
434,PSOE,solidaria,8
435,PSOE,agentes,41
436,PSOE,socioeconómicos,3
437,PSOE,aliados,6
438,PSOE,estratégicos,15
439,PSOE,políticas,162
440,PSOE,comienza,2
441,PSOE,po,8
442,PSOE,breza,1
443,PSOE,cero,15
444,PSOE,ingreso,14
445,PSOE,mínimo,22
446,PSOE,vital,26
447,PSOE,sinhogarismo,12
448,PSOE,discapacidad,70
449,PSOE,situaciones,33
450,PSOE,soledad,10
451,PSOE,repercusión,2
452,PSOE,sanidad,28
453,PSOE,nacional,109
454,PSOE,incluirá,3
455,PSOE,listas,6
456,PSOE,espera,9
457,PSOE,favor,7
458,PSOE,sanitarios,15
459,PSOE,mental,38
460,PSOE,planes,55
461,PSOE,mejoras,13
462,PSOE,trabajo,82
463,PSOE,tabaquismo,1
464,PSOE,apostando,15
465,PSOE,libre,16
466,PSOE,humos,4
467,PSOE,drogas,2
468,PSOE,adicciones,4
469,PSOE,consumo,31
470,PSOE,unacompromiso,1
471,PSOE,u,11
472,PSOE,na,3
473,PSOE,consumidoras,17
474,PSOE,usuarias,8
475,PSOE,diversidad,22
476,PSOE,múltiple,4
477,PSOE,discriminación,66
478,PSOE,hora,12
479,PSOE,real,19
480,PSOE,colectivo,26
481,PSOE,lgtbi,32
482,PSOE,fin,50
483,PSOE,vih,9
484,PSOE,cualquier,35
485,PSOE,tipo,19
486,PSOE,racismo,12
487,PSOE,iscursos,1
488,PSOE,odio,15
489,PSOE,pueblo,16
490,PSOE,gitano,13
491,PSOE,deporte,36
492,PSOE,colectivos,32
493,PSOE,rehabilitación,11
494,PSOE,vi,6
495,PSOE,libertades,17
496,PSOE,convivencia,48
497,PSOE,convive,2
498,PSOE,integrada,6
499,PSOE,avanza,11
500,PSOE,plural,9
501,PSOE,marco,91
502,PSOE,renovado,3
503,PSOE,cogobernanza,16
504,PSOE,cooperación,66
505,PSOE,coordinación,35
506,PSOE,impulso,64
507,PSOE,municipalismo,4
508,PSOE,financiación,55
509,PSOE,autonómica,15
510,PSOE,local,18
511,PSOE,zonas,47
512,PSOE,afectadas,9
513,PSOE,catástrofes,7
514,PSOE,liber,1
515,PSOE,tades,1
516,PSOE,extensión,13
517,PSOE,vive,2
518,PSOE,seguro,9
519,PSOE,quieras,2
520,PSOE,inteligente,12
521,PSOE,accesible,19
522,PSOE,proactiva,6
523,PSOE,público,121
524,PSOE,altura,2
525,PSOE,desafíos,34
526,PSOE,modern,1
527,PSOE,ización,1
528,PSOE,transparencia,29
529,PSOE,democrática,36
530,PSOE,integridad,9
531,PSOE,rendición,9
532,PSOE,cuentas,14
533,PSOE,reforzada,2
534,PSOE,garantías,15
535,PSOE,ocupación,6
536,PSOE,comunidades,57
537,PSOE,cautónomas,1
538,PSOE,española,62
539,PSOE,europa,58
540,PSOE,memoria,25
541,PSOE,laicidad,4
542,PSOE,migración,9
543,PSOE,asilo,5
544,PSOE,vii,5
545,PSOE,abierta,12
546,PSOE,fuerte,18
547,PSOE,firme,9
548,PSOE,entorno,34
549,PSOE,próspero,4
550,PSOE,estable,20
551,PSOE,soluciones,16
552,PSOE,multilaterales,5
553,PSOE,globales,14
554,PSOE,liderando,9
555,PSOE,relaciones,39
556,PSOE,estratégicas,10
557,PSOE,américa,12
558,PSOE,latina,12
559,PSOE,excelentes,3
560,PSOE,transatlánticas,2
561,PSOE,contribuyen,4
562,PSOE,bilaterales,7
563,PSOE,vecinos,9
